user_input,reference
What is the warranty policy for exchanged devices at FPT Shop?,"The warranty policy for exchanged devices at FPT Shop is a 1-for-1 exchange within 30 days if there is a manufacturer defect, and it is covered by the manufacturer's warranty if it is still valid. After the manufacturer's warranty expires, FPT Shop provides a warranty ranging from 1 to 12 months depending on the type of product."
Is FPT Shop an authorized dealer of Apple in Việt Nam?,"FPT Shop is a global authorized dealer of Apple in Việt Nam, providing genuine Apple products and standard warranty services, with a consulting team trained by Apple experts."
"Tôi là một nhân viên bảo vệ dữ liệu và tôi muốn biết về chính sách bảo hành của FPT Shop liên quan đến Xiaomi Cloud, đặc biệt là những điều kiện nào có thể dẫn đến việc từ chối bảo hành nếu tài khoản Xiaomi Cloud bị khóa.","Sản phẩm trong tình trạng bị khóa tài khoản cá nhân như: Tài khoản khóa máy/màn hình, khóa tài khoản trực tuyến Xiaomi Cloud, Samsung Cloud, iCloud, Gmail... sẽ không đủ điều kiện để được bảo hành. Điều này có nghĩa là nếu tài khoản Xiaomi Cloud của bạn bị khóa, sản phẩm của bạn sẽ không được bảo hành theo chính sách của FPT Shop."
Quý khách cần lưu ý gì khi bàn giao sản phẩm tại FPT Shop?,"Để bảo vệ dữ liệu cá nhân, Quý khách vui lòng sao lưu và XOÁ các dữ liệu cá nhân trước khi bàn giao sản phẩm cho nhân viên FPT Shop. FPT Shop không chịu trách nhiệm về việc mất dữ liệu của Quý khách trong quá trình cài đặt, bảo hành sửa chữa. Để đảm bảo Quyền lợi, Quý khách vui lòng ký xác nhận để thông tin bàn giao thiết bị của Quý khách được ghi nhận trên hệ thống FPT Shop. Quý khách vui lòng kiểm tra tài khoản iCloud/ Google và các tài khoản xã hội khác trên máy trước khi rời cửa hàng. Tài khoản cài đặt trên máy phải là tài khoản cá nhân của Quý khách (chủ sở hữu máy). Nếu chưa có tài khoản iCloud, Quý khách liên hệ NV Kỹ thuật để được hỗ trợ tạo Tài khoản iCloud (Apple ID)/ Google và các tài khoản khác miễn phí tại cửa hàng."
Làm thế nào để bảo hành điện thoai?,Để đảm bảo quyền lợi của Quý khách hàng khi mua sản phẩm tại các cửa hàng thuộc hệ thống cửa hàng FPT Shop. Chúng tôi cam kết tất cả các sản phẩm được tuân theo các điều khoản bảo hành của sản phẩm tại thời điểm xuất hóa đơn cho Quý khách hàng. Các sản phẩm điện thoại sẽ có chính sách bảo hành khác nhau tùy thuộc vào hãng sản xuất. Khách hàng có thể bảo hành máy tại các cửa hàng FPT Shop trên toàn quốc cũng như các trung tâm bảo hành chính hãng sản phẩm.
"What is the return policy for MTB products purchased at FPT Shop, and how are return fees calculated?","Đối với các sản phẩm ĐTDĐ, MTB, MTXT, SMARTWATCH (Áp dụng bao gồm các sản phẩm Apple), sản phẩm cùng model, cùng màu, cùng dung lượng. Trong tình huống sản phẩm đổi hết hàng, khách hàng có thể đổi sang một sản phẩm khác tương đương hoặc cao hơn về giá trị so với sản phẩm lỗi. Trường hợp khách hàng muốn trả sản phẩm: FPTShop sẽ kiểm tra tình trạng máy và thông báo đến Khách hàng về giá trị thu lại sản phẩm ngay tại cửa hàng."
"FPT Shop có chính sách giao hàng tận nhà không? Nếu tôi không ưng ý với sản phẩm khi nhận hàng, tôi có thể trả lại không?","FPT Shop cam kết giao hàng toàn bộ 63 tỉnh thành, FPT Shop nhận giao đơn hàng có thời gian hẹn giao tại nhà trước 20h00. Miễn phí giao hàng với các đơn hàng trong bán kính 20km có đặt shop (Với đơn hàng có giá trị nhỏ hơn 100.000đ sẽ thu phí 10.000đ). Nếu Quý khách hàng không ưng ý với sản phẩm khi nhận hàng, Quý khách có thể từ chối mua hàng mà không mất bất cứ chi phí nào."
"FPT Shop có chính sách giao hàng tại nhà như thế nào và nếu tôi đặt hàng mà không hài lòng với sản phẩm, tôi có thể trả lại không? Tôi muốn biết rõ về phí giao hàng và các điều kiện liên quan.","FPT Shop hỗ trợ giao hàng tại nhà trên toàn quốc với phạm vi phủ sóng 63 tỉnh thành. Miễn phí giao hàng trong bán kính 20km với đơn hàng dưới 100.000 VNĐ thu phí 10.000 VNĐ. Nếu Quý khách hàng không ưng ý với sản phẩm khi nhận hàng, Quý khách có thể từ chối mua hàng mà không mất bất cứ chi phí nào. FPT Shop cam kết giao hàng toàn bộ 63 tỉnh thành và nhận giao đơn hàng có thời gian hẹn giao tại nhà trước 20h00."
"What are the delivery policies of FPT Shop regarding home delivery and associated fees for orders under 100,000 VNĐ?","FPT Shop supports home delivery nationwide, covering all 63 provinces. They offer free delivery for orders within a 20km radius. For orders under 100,000 VNĐ, a fee of 10,000 VNĐ is charged. If the delivery distance exceeds 20km, staff will provide detailed consultation regarding the delivery."
Làm thế nào để tham gia chương trình F.Friends?,"Để được mua hàng và hưởng quyền lợi theo chính sách mua hàng F.Friends, Quý khách hàng phải là hội viên. Điều kiện tiếp theo là bạn đã ký hợp đồng chính thức với doanh nghiệp đã tham gia chương trình F.Friends hay chưa."
What are the requirements for customers to purchase items under the F.Friends policy?,"To purchase items and enjoy benefits under the F.Friends purchasing policy, customers must be members. The next condition is that they must have officially signed a contract with a business that participates in the F.Friends program."
What are the contact methods for customers needing assistance with product usage and invoice corrections?,"Customers needing assistance with product usage can refer to the user manual included with the product or call the hotline at 1800.6601, option 2, to speak with a customer service representative for further guidance. For issues related to correcting or reissuing invoices due to incorrect customer information, customers should contact the hotline at 1800.6616 to consult with a support representative, or they can refer to the guidance available at (https://hddt.fptshop.com.vn/bien-ban-huy) if it pertains to company invoices."
Mình cần biết nếu có vấn đề về hóa đơn thì phải làm sao?,Quý khách vui lòng liên hệ tổng đài 1800.6616 để gặp điện thoại viên tư vấn hỗ trợ hoặc Quý khách tham khảo qua hướng dẫn Tại (https://hddt.fptshop.com.vn/bien-ban-huy) nếu liên quan đến hóa đơn công ty.
"As a Customer Data Analyst, I need to understand the best ways for customers to access product usage guidance and warranty updates. What are the recommended contact methods for customers seeking assistance with product instructions and warranty issues?","Customers seeking guidance on how to use a product can refer to the user manual included with the product or call the hotline at 1800.6601, option 2, to speak with a customer service representative for further assistance. For those wanting to update their Apple device's warranty status, they should wait 72 hours after activation to check the warranty information. If the warranty status is still not updated after this period, customers are advised to contact the hotline at 1800.6616 for support from a customer service agent."
Khi nào tôi có thể gọi 1800.6601 để hỏi về sản phẩm?,Quý khách có thể gọi vào tổng đài 1800.6601 nhánh số 2 để gặp điện thoại viên hướng dẫn thêm về sản phẩm.
Where can customers find guidance on using a product?,"Customers can refer to the user manual included with the product or call the hotline 1800.6601, extension 2, to speak with a representative for further assistance."
"Khi tôi cần hướg dẫn cách sử dụng sản phẩm, tôi nên liên hệ với ai hoặc xem thông tin ở đâu để có được sự trợ giúp tốt nhất?",Quý khách có thể tham khảo sách hướng dẫn sử dụng kèm theo sản phẩm hoặc gọi vào tổng đài 1800.6601 nhánh số 2 để gặp điện thoại viên hướng dẫn thêm.
